epoch,train_total,train_lm_loss,train_keep_loss,train_support_loss,train_budget_penalty,val_loss,val_token_accuracy,val_sequence_exact_match,val_prompt_compression_ratio,val_measurement_budget_mean,val_support_precision,val_support_recall,val_support_f1,val_support_drift,val_active_support_fraction
1,11.239808464050293,3.0024951934814452,30.99008140563965,14.015594291687012,0.7348684310913086,3.0691500902175903,0.038238507437599795,0.0,0.8132639565758906,11.709703922271729,0.5153714408049668,0.533203125,0.5240841886315106,0.4716254398226738,0.5
2,9.385432052612305,3.001376724243164,31.059033203125,6.5281469345092775,0.7333367586135864,3.06559956073761,0.038238507437599795,0.0,0.8554326296042855,11.668585777282715,0.5076189078097475,0.517578125,0.5125482625482626,0.4880642369389534,0.5
3,8.51606206893921,3.0004117488861084,31.15839385986328,2.9798648357391357,0.7306846141815185,3.065263509750366,0.055004622237162785,0.0,0.8920186894638134,11.642681121826172,0.5063839285714286,0.5126953125,0.5095000602700097,0.5009494349360466,0.5
4,8.137985992431641,2.909635066986084,31.257423400878906,1.765869402885437,0.7289370894432068,2.718238592147827,0.15049583998655347,0.0,0.9052045935285682,11.6328125,0.5116003787878788,0.51953125,0.5155048076923077,0.5034179762005806,0.5
5,7.559817218780518,2.3922555923461912,31.22488136291504,1.5404129505157471,0.7298108458518981,2.05920672416687,0.5447306496344231,0.03125,0.8835742638461754,11.650904655456543,0.5383202099737533,0.54296875,0.5405978784956607,0.494845911860466,0.5
6,6.829835414886475,1.720890426635742,31.11179847717285,1.38118634223938,0.7318770527839661,1.4014508724212646,0.793785192032944,0.46875,0.8403297580609566,11.7039475440979,0.6764357195160222,0.6328125,0.6538909570785034,0.4793565571308136,0.5
7,6.115855312347412,1.07676362991333,31.027207946777345,1.1656294822692872,0.7342516303062439,0.7744427025318146,0.9923312883435582,0.9609375,0.7916337135607322,11.731907844543457,0.74952182090599,0.7333984375,0.7413362959497914,0.4447699561715126,0.5
8,5.575658512115479,0.5890155673027039,30.983963394165038,1.005965566635132,0.7356907963752747,0.4187948852777481,1.0,1.0,0.7548175496381617,11.752878189086914,0.8156083700151107,0.7861328125,0.8005942489990348,0.430935338139534,0.5
9,5.269160652160645,0.32826583087444305,30.963136672973633,0.8499807000160218,0.7365851163864136,0.244304820895195,1.0,1.0,0.7374836725016918,11.758634567260742,0.8922197250132204,0.857421875,0.8744603174603174,0.4047580286860466,0.5
10,5.096812725067139,0.19246968626976013,30.948096084594727,0.7339303493499756,0.7369757175445557,0.1434914842247963,1.0,1.0,0.7328997379233475,11.759457111358643,0.9027599280298162,0.8798828125,0.8911665257819104,0.3931206613779068,0.5
11,4.993630313873291,0.11612326949834824,30.93459243774414,0.6501620650291443,0.7370888233184815,0.08986162766814232,1.0,1.0,0.7343148592690829,11.761513233184814,0.9156746031746033,0.9013671875,0.9084645669291339,0.3766004741191864,0.5
12,4.923623371124267,0.07544187903404236,30.92199287414551,0.5545114994049072,0.7371299386024475,0.06235143914818764,1.0,1.0,0.7383758500857915,11.761513233184814,0.9364970414201184,0.9208984375,0.9286210227030297,0.3647732213139534,0.5
13,4.880943965911865,0.052809149771928784,30.909391021728517,0.4933796763420105,0.7371196508407593,0.046248018741607666,1.0,1.0,0.7429324695133495,11.761101722717285,0.9545411853104161,0.9423828125,0.9484209468909615,0.3549262136220932,0.5
14,4.841759872436524,0.039614512026309966,30.896294403076173,0.41297725439071653,0.7370990991592408,0.03734922222793102,1.0,1.0,0.7478240855541465,11.761101722717285,0.9576771653543307,0.9501953125,0.9539215686274509,0.3420952707529068,0.5
15,4.818362808227539,0.03211566060781479,30.882196044921876,0.3695964694023132,0.7370990991592408,0.0316295912489295,1.0,1.0,0.753696187126252,11.761101722717285,0.9714566929133859,0.9638671875,0.9676470588235294,0.3407389298081398,0.5
16,4.797955322265625,0.027389125898480415,30.867065048217775,0.3286387205123901,0.7375616669654846,0.027039540000259876,1.0,1.0,0.7617645821166162,11.777960777282715,0.9765625,0.9765625,0.9765625,0.3232964426279068,0.5
17,4.77633810043335,0.02389051392674446,30.850444412231447,0.2818641722202301,0.7378700613975525,0.023508533835411072,1.0,1.0,0.772329532931617,11.777960777282715,0.9765625,0.9765625,0.9765625,0.2939724326133728,0.5
18,4.76107234954834,0.020927445963025093,30.83301696777344,0.2535350382328033,0.7377980947494507,0.02097971737384796,1.0,1.0,0.785147186214053,11.770559310913086,0.9873046875,0.9873046875,0.9873046875,0.3071288987994194,0.5
19,4.745915508270263,0.018817972764372824,30.81507110595703,0.22505265474319458,0.7373149752616882,0.019073002971708775,1.0,1.0,0.8005263942861045,11.768092155456543,0.9921875,0.9921875,0.9921875,0.282253697514534,0.5
20,4.734934329986572,0.01743062101304531,30.796854782104493,0.20493678152561187,0.7368626475334168,0.017694166861474514,1.0,1.0,0.8182345111298802,11.763568878173828,0.9970703125,0.9970703125,0.9970703125,0.271837018430233,0.5
